file,key,claim_name,claim_n,verdict,aact_brief_title,aact_enrollment,n_ratio,title_overlap,country_issues,exempt,notes
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,ELEVATE-TN,356,TITLE_LOW_OVERLAP,"Acalabrutinib, Obinutuzumab and Chlorambucil in Treatment naïve CLL",535,0.67,0,,,
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,ASCEND,310,TITLE_LOW_OVERLAP,A Study of Acalabrutinib vs Investigator's Choice of Idelalisib Plus Rituximab o,310,1.00,0,,,
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,ATTRibute-CM,632,OK,Efficacy and Safety of AG10 in Subjects With Transthyretin Amyloid Cardiomyopath,632,1.00,1,,,
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00391872,PLATO,18624,OK,A Comparison of Ticagrelor (AZD6140) and Clopidogrel in Patients With Acute Coro,18624,1.00,1,,,
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00097591,TRITON-TIMI 38,13608,TITLE_LOW_OVERLAP,A Comparison of Prasugrel (CS-747) and Clopidogrel in Acute Coronary Syndrome Su,13619,1.00,0,,,
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT01944800,ISAR-REACT 5,4018,OK,"Prospective, Randomized Trial of Ticagrelor Versus Prasugrel in Patients With Ac",4018,1.00,2,,,
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT02270242,TWILIGHT,7119,TITLE_LOW_OVERLAP,Ticagrelor With Aspirin or Alone in High-Risk Patients After Coronary Interventi,9006,0.79,0,,,
ADC_HER2_ADJUVANT_NMA_REVIEW.html,NCT01772472,KATHERINE,1486,OK,A Study of Trastuzumab Emtansine Versus Trastuzumab as Adjuvant Therapy in Patie,1486,1.00,1,,,
ADC_HER2_LOW_NMA_REVIEW.html,NCT03734029,DESTINY-Breast04,557,OK,Trastuzumab Deruxtecan (DS-8201a) Versus Investigator's Choice for HER2-low Brea,557,1.00,2,,,
ADC_HER2_LOW_NMA_REVIEW.html,NCT04494425,DESTINY-Breast06,866,OK,Study of Trastuzumab Deruxtecan (T-DXd) vs Investigator's Choice Chemotherapy in,866,1.00,2,,,
ADC_HER2_NMA_REVIEW.html,NCT03529110,DESTINY-Breast03,524,OK,DS-8201a Versus T-DM1 for Human Epidermal Growth Factor Receptor 2 (HER2)-Positi,524,1.00,2,,,
ADC_HER2_NMA_REVIEW.html,NCT00829166,EMILIA,991,TITLE_LOW_OVERLAP,A Study of Trastuzumab Emtansine Versus Capecitabine + Lapatinib in Participants,991,1.00,0,,,
ADC_HER2_NMA_REVIEW.html,NCT01419197,TH3RESA,602,OK,A Study of Trastuzumab Emtansine in Comparison With Treatment of Physician's Cho,602,1.00,1,,,
ADC_HER2_NMA_REVIEW.html,NCT03523585,DESTINY-Breast02,608,OK,DS-8201a in Pre-treated HER2 Breast Cancer That Cannot be Surgically Removed or ,608,1.00,2,,,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02362594,KEYNOTE-054,1019,OK,Study of Pembrolizumab (MK-3475) Versus Placebo After Complete Resection of High,1019,1.00,2,,,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02388906,CheckMate-238,906,OK,Efficacy Study of Nivolumab Compared to Ipilimumab in Prevention of Recurrence o,906,1.00,2,,,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT01682083,COMBI-AD,870,OK,Dabrafenib With Trametinib in the Adjuvant Treatment of High-risk BRAF V600 Muta,870,1.00,1,,,
AFICAMTEN_HCM_REVIEW.html,NCT05186818,SEQUOIA-HCM,282,OK,Phase 3 Trial to Evaluate the Efficacy and Safety of Aficamten Compared to Place,282,1.00,1,,,
AGYW_HIV_PREP_NMA_REVIEW.html,NCT02732730,"HPTN 082 (oral PrEP, AGYW)",451,OK,Uptake and Adherence to Daily Oral PrEP as a Primary Prevention Strategy for You,451,1.00,2,,,
AGYW_HIV_PREP_NMA_REVIEW.html,NCT01386294,"FACTS-001 (vaginal tenofovir gel, AGYW)",2024,OK,Safety and Effectiveness of Tenofovir Gel in the Prevention of Human Immunodefic,2059,0.98,3,,,
ALK_NSCLC_NMA_REVIEW.html,NCT02075840,ALEX,303,TITLE_LOW_OVERLAP,A Study Comparing Alectinib With Crizotinib in Treatment-Naive Anaplastic Lympho,303,1.00,0,,,
ALK_NSCLC_NMA_REVIEW.html,NCT02737501,ALTA-1L,275,OK,ALTA-1L Study: A Study of Brigatinib Versus Crizotinib in Anaplastic Lymphoma Ki,275,1.00,1,,,
